artigo,codigo,descricao,icms_18,icms_12,icms_7,ret_mg,observacao
TRICOLINE LONDRES EST, EST 1019,TRICOLINE LONDRES 100% ALGODAO,,13.7,,,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TRICOLINE LONDRES LISO, LISO 1019,TRICOLINE LONDRES 100% ALGODAO,13.67,12.9,12.25,12.22,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
TRICOLINE PARIS PLUS LISO, LISO 1000,TRICOLINE PARIS PLUS 100% ALGODAO,13.1,12.7,12.1,11.71,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
TRICOLINE PREMIUM EST, EST 1015,TRICOLINE PREMIUM 100% ALGODAO,13.67,12.9,12.25,12.22,PROGRAMACAO
TRICOLINE TOP LINE (DIGITAL)40/1 DIG, DIG EST 1028,TRICOLINE TOP LINE (DIGITAL)40/1 100%ALG,,20.25,,,PROGRAMACAO
TRICOLINE TOP LINE 40/1 EST, EST 1028,TRICOLINE TOP LINE 40/1 100% ALGODAO,14.2,13.7,13.2,12.7,PROGRAMACAO
VERANO LINHO LISO, LISO 1028,TRICOLINE TOP LINE 40/1 100% ALGODAO,14.2,13.7,13.2,12.7,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
VENETO FIO TINTO LISO, LISO 1016,VENETO FIO TINTO 100% ALGODAO,15.79,14.6,13.9,13.5,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO ARIZONA XADREZ (2) 2X2 EST, EST 1046,VERANO ARIZONA XADREZ (2) 2X2 100% ALG,19.3,18.9,18.3,,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
VERANO CHAMBREY LISO, LISO 1003,VERANO CHAMBREY 100% ALGODAO,14.9,14.5,14.15,13.17,PROGRAMACAO
VERANO CHAMBREY 160 LISO, LISO 1112,VERANO CHAMBREY 160 100% ALGODAO,14.9,14.5,,13.17,PROGRAMACAO
